MeoDemoSat.UTCGregorian,MeoDemoSat.ElapsedSecs,MeoDemoSat.EarthFixed.X,MeoDemoSat.EarthFixed.Y,MeoDemoSat.EarthFixed.Z,MeoDemoSat.EarthFixed.VX,MeoDemoSat.EarthFixed.VY,MeoDemoSat.EarthFixed.VZ,MeoDemoSat.Earth.SMA,MeoDemoSat.Earth.ECC,MeoDemoSat.EarthMJ2000Eq.INC,MeoDemoSat.EarthMJ2000Eq.RAAN,MeoDemoSat.EarthMJ2000Eq.AOP,MeoDemoSat.Earth.TA
01 Jan 2026 00:00:00.000,0,-1233.132095473708,-6766.67126881631,17.43950303757197,3.253995846084375,-0.5760042490883304,6.592809042490764,6878.136300000001,1.226092416039849e-16,59.99999999999999,0,0,0
01 Jan 2026 00:00:30.000,30.00000009778887,-1134.848743156295,-6780.449706035246,215.2413055083031,3.297802280228531,-0.3424803450789158,6.592760632673786,6886.993354228322,0.001286825574275321,59.99993941148117,359.9999985212206,3.010643697307962,358.8923904770605
01 Jan 2026 00:02:47.169,167.1689025359228,-670.413571798279,-6754.102290415347,1114.916053014653,3.464587278022826,0.7258467946906845,6.49964571626994,6927.448797239622,0.007112984826684703,59.99869785787347,359.9998179919582,7.312689821083659,3.307100022475777
01 Jan 2026 00:05:29.176,329.1755675571039,-98.10735119619854,-6535.620056889195,2146.102355254541,3.586680801208025,1.964163173958474,6.19615366249245,6975.168666862968,0.01384703666982067,59.9953767887553,359.9986967078873,12.26697282870134,8.678832615152906
01 Jan 2026 00:08:14.289,494.2892911378294,498.3351396197947,-6111.280401318625,3129.415560663432,3.622763268106334,3.16158384033973,5.681290857181763,7023.875564515143,0.02052717845021148,59.99038586810367,359.9958191390592,17.18909963580953,14.30868530629347
01 Jan 2026 00:10:59.885,659.8846603534184,1094.87675788841,-5495.292444915803,4014.199725786688,3.566533791259733,4.257405107666274,4.975096878386343,7073.08740243474,0.02704546097973646,59.98441317435156,359.990620133529,22.03420007138027,20.06311527494257
01 Jan 2026 00:12:25.000,745.0000003329478,1395.849516896676,-5110.921166997819,4419.708165595684,3.501522248097032,4.767759570154179,4.546465430300451,7098.649486711341,0.03033044112557183,59.98121817774502,359.9869476720419,24.50687669458799,23.0400203147373
01 Jan 2026 00:12:55.000,775.0000004307367,1500.435341464749,-4965.370055331521,4553.661803175349,3.470369507282984,4.934751151836265,4.383001342729276,7098.150348847162,0.03027300292057365,59.98010093985503,359.9854886290072,24.43234848595356,25.03430091267606
01 Jan 2026 00:15:06.883,906.8828459945507,1947.40952259192,-4269.331209561969,5081.815636537174,3.298647937171887,5.601971317405095,3.613302693796167,7096.095294440899,0.03007278599316066,59.97540084978532,359.9780844478698,24.01353428571539,33.87179144621088
01 Jan 2026 00:17:49.575,1069.574960425962,2461.854675270132,-3301.703602470866,5586.020314185161,3.012281213710764,6.261803675847148,2.570438784413993,7094.056637569245,0.02997324437099231,59.9705281421579,359.9669779759074,23.38878629736109,44.82521274472667
01 Jan 2026 00:20:36.960,1236.959588318132,2935.886762938014,-2210.854392206709,5921.260679820857,2.639233235949922,6.736772305282942,1.426580307860136,7092.743055753508,0.03005078373953442,59.96718698339973,359.9539249626662,22.79594834379043,55.96455757380669
01 Jan 2026 00:23:25.850,1405.849945067894,3344.821644924302,-1047.959552680186,6062.236510193041,2.19258601011436,6.997300840788226,0.2410944653428115,7092.341150955392,0.03027545035752617,59.96592864458232,359.9399963413246,22.41712483431533,66.88929899522951
01 Jan 2026 00:26:16.029,1576.028973225038,3675.384180661275,149.3416390845337,6002.041712161703,1.683526439542229,7.036841156636137,-0.9434726023754135,7092.879674719342,0.03057387122544318,59.96688198250854,359.9261509963128,22.35792751749904,77.46821049868913
01 Jan 2026 00:29:07.566,1747.565677645616,3916.76282151083,1344.092984106614,5741.101430364991,1.124255781869658,6.857441346448566,-2.087373597811155,7094.26740272356,0.03085586626096548,59.96987785520181,359.9132588294882,22.6305838844613,87.68509597895667
01 Jan 2026 00:32:00.512,1920.511649467517,4060.014895365062,2499.28180602411,5286.438588330897,0.5282230642185376,6.468174667347457,-3.152991935764605,7096.299021146759,0.03104067355772558,59.97449611317803,359.9020588205028,23.15782974281775,97.61594759665127
01 Jan 2026 00:34:54.889,2094.888863526285,4098.351552399423,3578.908213359536,4651.562302487495,-0.09016310792257415,5.884464237943691,-4.105894963893332,7098.684659587214,0.03107966762042557,59.98010986509165,359.8930919509062,23.80104610555171,107.4001904913208
01 Jan 2026 00:37:50.689,2270.688788511325,4027.426046899509,4549.117264743507,3856.167081252297,-0.7158189938645347,5.127299315159503,-4.915777247564311,7101.098650694335,0.03096835607777433,59.98596475289641,359.8866146202989,24.40054227814946,117.200381920051
01 Jan 2026 00:40:47.862,2447.862189437728,3845.602209979409,5379.248549362835,2925.679489520836,-1.333216678248666,4.222414011684531,-5.55719385420952,7103.230767823729,0.03074551753004291,59.99129578584727,359.8825467203319,24.81604661361873,127.1610404572627
01 Jan 2026 00:43:46.319,2626.319330383558,3554.195312046914,6042.902465429405,1890.568438780432,-1.92664796337153,3.199382622377488,-6.010200973393644,7104.828712039055,0.03048099927967447,59.99543987892111,359.8804942781586,24.96130047914188,137.3738720910513
01 Jan 2026 00:46:45.937,2805.936633388046,3157.636420958701,6518.920851082453,785.3962496596606,-2.480511131512249,2.090627293718546,-6.260834242396134,7105.723851259111,0.03025566329540895,59.99790680444423,359.8798274762329,24.82669314441629,147.8552008849916
01 Jan 2026 00:49:46.557,2986.556514690164,2663.561827616462,6792.176027873096,-352.2897346054777,-2.979570882633146,0.9304517503055452,-6.301382257773763,7105.83646826742,0.03013918337443507,59.99841389566389,359.8797700986917,24.48258265083277,158.5422089299794
01 Jan 2026 00:52:47.983,3167.983080097474,2082.833078265992,6854.18482383579,-1483.194655302763,-3.409216102615875,-0.2458604830301655,-6.130530210197371,7105.167937774876,0.03017163409835986,59.99690968877231,359.8794843713811,24.06023117994411,169.3112392485798
01 Jan 2026 00:55:49.729,3349.728968041018,1430.40252695985,6703.899950287082,-2566.216180778375,-3.755350582475881,-1.401356478149924,-5.754081310809052,7103.796807797894,0.03035209995355821,59.99359491384379,359.878164922013,23.71459246877169,180
01 Jan 2026 00:56:19.729,3379.728968138807,1316.968826237061,6659.04779624923,-2737.69307036899,-3.806463461953759,-1.588542753838031,-5.676828855528941,7112.548270546897,0.02908490516327993,59.99290128714053,359.8777985827938,23.63328959480531,181.7885575725408
01 Jan 2026 00:58:41.939,3521.939071733505,760.2898906754453,6371.208343294096,-3515.305500225483,-4.012241361289143,-2.452514645144837,-5.240181280101722,7154.233748054885,0.02314642860572993,59.98918305189459,359.8753548272704,21.89275305535244,191.6403275203357
01 Jan 2026 01:01:38.974,3698.973955004476,33.74617964412322,5846.771409806394,-4383.726448725889,-4.178362227863301,-3.456938043715641,-4.54356346445685,7206.753823774538,0.01619416553788038,59.98391329617217,359.8704630467061,14.05174200909605,209.6305138067139
01 Jan 2026 01:04:40.261,3880.261489155237,-730.7895983465877,5134.850975042091,-5130.782909871937,-4.236637079251183,-4.376308547008597,-3.673746448910801,7261.567526988447,0.01084858640528672,59.97841474379072,359.8631446800819,350.2950984433025,243.8511667296648
01 Jan 2026 01:07:37.729,4057.72896821145,-1479.14041265596,4288.073952338537,-5697.510275320494,-4.177462645409651,-5.142421411517658,-2.694402735129811,7316.594389261402,0.01069879475182943,59.97361858016788,359.8537789857729,309.324948895149,295.1410508553637
01 Jan 2026 01:08:07.729,4087.728968309239,-1604.10321918582,4132.122323987459,-5775.683743718407,-4.152826001304434,-5.253589507659809,-2.516735547006807,7316.272351538718,0.01064999745540331,59.97291162965011,359.8520001137863,309.4560566170587,296.7614272677341
01 Jan 2026 01:10:29.839,4229.839023726527,-2183.596936612919,3351.410236685746,-6071.90015842098,-3.990077891305179,-5.715730388240062,-1.644327980557653,7314.992913291667,0.01040718776786782,59.97011238018807,359.8429138367138,309.7511104464975,304.7764567680105
01 Jan 2026 01:13:25.689,4405.688801023643,-2860.055359376938,2307.17681564742,-6262.3517723307,-3.684554449975071,-6.130784558394614,-0.5152092567309894,7314.09246404455,0.01012917102086876,59.96816950483159,359.8305437968891,309.3063519189863,315.5321321617013
01 Jan 2026 01:16:25.576,4585.576041019522,-3486.11849184385,1180.347461683302,-6249.270458351478,-3.257324300940075,-6.364486800957976,0.6609125653106718,7314.083057174818,0.009951372473180536,59.96819552756014,359.8173538543498,308.017917003745,327.3951386486274
01 Jan 2026 01:19:25.649,4765.649054688402,-4026.017950024882,28.18069354888073,-6025.353507723288,-2.722133212933065,-6.398679087272408,1.819547727453779,7315.020330619388,0.009945773470783103,59.97029267412454,359.8045198433736,306.2953052919444,339.7241484543626
01 Jan 2026 01:22:25.494,4945.494104898535,-4460.302421994137,-1110.696423855882,-5598.173160211033,-2.09288141149611,-6.233615125435398,2.917921349294648,7316.77786788644,0.01012222909911923,59.97418892337677,359.7929532379833,304.7513807235238,351.8747507903105
01 Jan 2026 01:25:25.102,5125.102330301888,-4773.77579406406,-2201.073074327878,-4982.563566074625,-1.386269343889078,-5.877130044156871,3.917923911759887,7319.099350992552,0.0104283491972118,59.97934574219684,359.7833555144059,303.8899964720794,3.334879733530781
01 Jan 2026 01:28:24.541,5304.54059302574,-4954.655241388993,-3210.288383142295,-4199.505532765593,-0.6218250162724163,-5.343349668378014,4.785353289993261,7321.658077474662,0.01077588531646744,59.98504786905575,359.7761348491491,303.9001531896674,13.91167133777881
01 Jan 2026 01:31:23.915,5483.915166696534,-4994.769211382053,-4108.924660968993,-3275.246397436497,0.1786557002978824,-4.651940348986859,5.490857584554872,7324.110880868842,0.01107449406097461,59.99051704158401,359.7713543347684,304.6716744985418,23.71394214629171
01 Jan 2026 01:34:23.335,5663.334686437156,-4889.779244237904,-4871.383456902956,-2240.513178986787,0.9916645283764683,-3.827377691084081,6.010749085976652,7326.128775137859,0.01125426671252687,59.995023646575,359.7687408525979,305.9084831270222,33.03697070943623
01 Jan 2026 01:37:22.890,5842.890322732273,-4639.432100124784,-5476.50905307326,-1129.649734113112,1.792648667493237,-2.898130494281393,6.327798714377082,7327.430184433308,0.01127924995184473,59.9979749255882,359.7677404282851,307.2231539842537,42.26698186115878
01 Jan 2026 01:40:22.678,6022.678258235101,-4247.680318739371,-5908.259699623705,20.60506407807169,2.556937168074667,-1.895503509736387,6.431918803002812,7327.834741773915,0.01115649869313839,59.99898036501896,359.7675966864178,308.2126237760937,51.80694293988908
01 Jan 2026 01:43:22.819,6202.819455438294,-3722.579339174036,-6156.080374291302,1172.432434562838,3.260657177906448,-0.852316426795881,6.320392421007187,7327.306136806167,0.01093591654679799,59.99790381165649,359.7674447423433,308.5420983879209,61.99396649485178
01 Jan 2026 01:46:23.434,6383.433842402883,-3076.16555416101,-6214.968943889823,2287.943580394132,3.881381623794927,0.1981738131861451,5.99772993122203,7325.945853670988,0.01069681255393595,59.99489587786898,359.7664258386028,308.0340106379753,73.00895077554105
01 Jan 2026 01:49:24.600,6564.600447693374,-2324.401104004651,-6085.542693916965,3330.091538006878,4.398686602053384,1.223172571893326,5.475455356536257,7323.951028065074,0.01052546315456638,59.99038084137561,359.763813874587,306.7435293008343,84.79883246653478
01 Jan 2026 01:52:26.358,6746.35824621655,-1486.929466020032,-5774.094780654582,4263.890088387026,4.794841636155388,2.191415911233826,4.77172735703473,7321.581404872771,0.01048958384768545,59.9849841059601,359.7591183112781,304.992162876086,97.04310825619213
01 Jan 2026 01:55:28.738,6928.73794559855,-586.5158683818152,-5292.368085151662,5057.766276115496,5.055469461180325,3.074317970670342,3.910560084531754,7319.147045522377,0.010613439855627,59.9794260088733,359.7521325016799,303.2985989106644,109.2248868925297
01 Jan 2026 01:58:31.767,7111.767085420433,351.5561160513992,-4657.086791342649,5684.605298333384,5.169946322220231,3.846786778277993,2.920848028226156,7316.983111200371,0.01086430519806142,59.97442465939329,359.7429369409285,302.1731675196424,120.8367350760493
01 Jan 2026 02:01:35.437,7295.43673141161,1299.968601045273,-3889.503941322095,6122.544124474382,5.131658926463493,4.487687327067591,1.835516318839542,7315.389650631906,0.01116461471670724,59.97062052611584,359.7318868812132,301.8931675085557,131.6034239942381
01 Jan 2026 02:04:39.680,7479.679755214602,2229.997239919844,-3014.896329064797,6355.8339989177,4.938309315826691,4.980282472635268,0.6906524593867962,7314.566290831222,0.01142513898385149,59.96850604504432,359.7195845962437,302.4333216867495,141.5501840371678
01 Jan 2026 02:07:44.394,7664.394080021884,3112.505085029713,-2061.720671904754,6375.679476548514,4.592171148839729,5.312721362903519,-0.4756929712078278,7314.588562874613,0.01157562628836357,59.96835701151754,359.7068101953973,303.5569832115099,150.912728793215
01 Jan 2026 02:10:49.479,7849.479323846754,3919.074879547764,-1060.485447892661,6180.693346091138,4.100123909137359,5.478318845926391,-1.624902401884344,7315.428821312431,0.01157822526281055,59.97018931462864,359.6944083091994,304.937679933572,160.0176503116597
01 Jan 2026 02:13:54.841,8034.840656246524,4622.964117080955,-42.68698384732597,5776.939039143632,3.473540349654779,5.475532824570154,-2.719000325797684,7316.980816735881,0.01142931981792888,59.9737588556444,359.6831659711469,306.227941268115,169.2136358457798
01 Jan 2026 02:17:00.367,8220.366620435379,5199.940946991318,960.1071813035065,5177.792611873288,2.728170553299828,5.307826630209179,-3.721666175886931,7319.061599242158,0.01115996796224364,59.97859693187591,359.6737141216996,307.0942647962941,178.8350433705851
01 Jan 2026 02:20:05.923,8405.923052423168,5629.202299446363,1917.254573620915,4403.613073659714,1.883933560266851,4.983508052096005,-4.599338031047191,7321.410622773084,0.01083417201966213,59.9840676819563,359.6664547397932,307.2746250033674,189.1438092859047
01 Jan 2026 02:23:11.378,8591.377518873196,5894.301399456623,2800.172327335408,3481.00959585982,0.9644411604286609,4.515420055544673,-5.322444595356204,7323.716977209514,0.01053655314229764,59.98944688678515,359.66150662931,306.6779111244085,200.2311218786933
