MeoDemoSat.UTCGregorian,MeoDemoSat.ElapsedSecs,MeoDemoSat.Earth.Latitude,MeoDemoSat.Earth.Longitude,MeoDemoSat.Earth.Altitude
01 Jan 2026 00:00:00.000,0,0.1461808925001841,-100.3280260412986,500.0001380884405
01 Jan 2026 00:00:30.000,30.00000009778887,1.804476072439553,-99.5015667050574,500.0173831284201
01 Jan 2026 00:02:47.169,167.1689025359228,9.385623662319853,-95.66862256257906,500.6828977011846
01 Jan 2026 00:05:29.176,329.1755675571039,18.28267523619781,-90.86001250946178,503.6123155290052
01 Jan 2026 00:08:14.289,494.2892911378294,27.18327865366311,-85.338216445857,510.2894301552979
01 Jan 2026 00:10:59.885,659.8846603534184,35.78632048834559,-78.73199686995697,521.9454101177344
01 Jan 2026 00:12:25.000,745.0000003329478,40.00989209551783,-74.72441186774167,530.2075836447848
01 Jan 2026 00:12:55.000,775.0000004307367,41.45532343382784,-73.18623499606178,533.5161494952772
01 Jan 2026 00:15:06.883,906.8828459945507,47.45739419179009,-65.48040967216389,550.3977407956845
01 Jan 2026 00:17:49.575,1069.574960425962,53.76760765288005,-53.29062317820627,575.8829001280392
01 Jan 2026 00:20:36.960,1236.959588318132,58.33003995360173,-36.98138689032444,606.4399225448815
01 Jan 2026 00:23:25.850,1405.849945067894,60.11507275667105,-17.39619384203533,640.5331166828464
01 Jan 2026 00:26:16.029,1576.028973225038,58.65226781017806,2.326815580729414,676.9769931515511
01 Jan 2026 00:29:07.566,1747.565677645616,54.36168151544126,18.94038812903661,714.641489120213
01 Jan 2026 00:32:00.512,1920.511649467517,48.12517089697383,31.61580385184696,752.426457326289
01 Jan 2026 00:34:54.889,2094.888863526285,40.69635187033651,41.12926736427919,789.2743705732573
01 Jan 2026 00:37:50.689,2270.688788511325,32.55692639756377,48.48088038093654,824.1782644665864
01 Jan 2026 00:40:47.862,2447.862189437728,23.99263641015785,54.43918268010317,856.1840765023453
01 Jan 2026 00:43:46.319,2626.319330383558,15.17718217977517,59.53764754872002,884.3950101435394
01 Jan 2026 00:46:45.937,2805.936633388046,6.224543447138903,64.1553694508564,907.979270459934
01 Jan 2026 00:49:46.557,2986.556514690164,-2.780715419832824,68.58729822254156,926.1812300844331
01 Jan 2026 00:52:47.983,3167.983080097474,-11.76423813413136,73.0971493202763,938.3398117488641
01 Jan 2026 00:55:49.729,3349.728968041018,-20.63454385001736,77.95548582164793,943.9138762764196
01 Jan 2026 00:56:19.729,3379.728968138807,-22.08129396878461,78.81290136375934,944.1753871053324
01 Jan 2026 00:58:41.939,3521.939071733505,-28.85809221625446,83.19495223291916,943.0795840450282
01 Jan 2026 01:01:38.974,3698.973955004476,-37.02208462138433,89.66930600451668,937.3103051853359
01 Jan 2026 01:04:40.261,3880.261489155237,-44.85800583406388,98.09991342518398,928.0556544767624
01 Jan 2026 01:07:37.729,4057.72896821145,-51.63910654765188,109.0315076890052,917.6277456552752
01 Jan 2026 01:08:07.729,4087.728968309239,-52.65787797140252,111.2163728908602,915.8714119447486
01 Jan 2026 01:10:29.839,4229.839023726527,-56.77874054414119,123.0860817426119,907.8345952045202
