MeoDemoSat.UTCGregorian,MeoDemoSat.ElapsedSecs,MeoDemoSat.EarthMJ2000Eq.X,MeoDemoSat.EarthMJ2000Eq.Y,MeoDemoSat.EarthMJ2000Eq.Z,MeoDemoSat.EarthMJ2000Eq.VX,MeoDemoSat.EarthMJ2000Eq.VY,MeoDemoSat.EarthMJ2000Eq.VZ,MeoDemoSat.Earth.SMA,MeoDemoSat.Earth.ECC,MeoDemoSat.EarthMJ2000Eq.INC,MeoDemoSat.EarthMJ2000Eq.RAAN,MeoDemoSat.EarthMJ2000Eq.AOP,MeoDemoSat.Earth.TA
01 Jan 2026 00:00:00.000,0,6878.1363,0,0,0,3.806304278866678,6.5927124000639,6878.136300000001,1.226092416039849e-16,59.99999999999999,0,0,0
01 Jan 2026 00:00:30.000,30.00000009778887,6874.339075719448,114.2049175732824,197.80852952433,-0.2531519892268003,3.806656222490934,6.593305871860356,6886.993354228322,0.001286825574275321,59.99993941148117,359.9999985212206,3.010643697307962,358.8923904770605
01 Jan 2026 00:02:47.169,167.1689025359228,6760.444432284475,633.8031680801805,1097.758868805127,-1.404823069969204,3.754775249569328,6.503112453541384,6927.448797239622,0.007112984826684703,59.99869785787347,359.9998179919582,7.312689821083659,3.307100022475777
01 Jan 2026 00:05:29.176,329.1755675571039,6425.072218415236,1229.712288605326,2129.780405347444,-2.724816355375061,3.582016802632059,6.202971786537937,6975.168666862968,0.01384703666982067,59.9953767887553,359.9986967078873,12.26697282870134,8.678832615152906
01 Jan 2026 00:08:14.289,494.2892911378294,5869.83724932865,1798.418481847597,3114.487026267132,-3.982144946814647,3.287440265509377,5.69130458776327,7023.875564515143,0.02052717845021148,59.99038586810367,359.9958191390592,17.18909963580953,14.30868530629347
01 Jan 2026 00:10:59.885,659.8846603534184,5114.891426915578,2310.692198368041,4001.172436159864,-5.110174095229708,2.882458434247389,4.987981180062707,7073.08740243474,0.02704546097973646,59.98441317435156,359.990620133529,22.03420007138027,20.06311527494257
01 Jan 2026 00:12:25.000,745.0000003329478,4657.680379840042,2545.73020244304,4407.834222579456,-5.625146419696098,2.636374534137451,4.560661776323733,7098.649486711341,0.03033044112557183,59.98121817774502,359.9869476720419,24.50687669458799,23.0400203147373
01 Jan 2026 00:12:55.000,775.0000004307367,4486.418109320312,2623.419624377069,4542.220144466096,-5.791263265610383,2.542471501960359,4.397621290291425,7098.150348847162,0.03027300292057365,59.98010093985503,359.9854886290072,24.43234848595356,25.03430091267606
01 Jan 2026 00:15:06.883,906.8828459945507,3678.288439055852,2930.058033751651,5072.415309034815,-6.44181001025748,2.100083382039675,3.62958344959875,7096.095294440899,0.03007278599316066,59.97540084978532,359.9780844478698,24.01353428571539,33.87179144621088
01 Jan 2026 00:17:49.575,1069.574960425962,2577.63007981794,3223.612714086612,5579.403401117783,-7.051975576607951,1.500185572018485,2.588281962702904,7094.056637569245,0.02997324437099231,59.9705281421579,359.9669779759074,23.38878629736109,44.82521274472667
01 Jan 2026 00:20:36.960,1236.959588318132,1361.105247802605,3420.026015309312,5917.723449582501,-7.442750637354086,0.8416095636057688,1.445431099651425,7092.743055753508,0.03005078373953442,59.96718698339973,359.9539249626662,22.79594834379043,55.96455757380669
01 Jan 2026 00:23:25.850,1405.849945067894,88.43627493777407,3504.570865366234,6061.924169834736,-7.586088185663571,0.1584505075483366,0.2603260713982899,7092.341150955392,0.03027545035752617,59.96592864458232,359.9399963413246,22.41712483431533,66.88929899522951
01 Jan 2026 00:26:16.029,1576.028973225038,-1196.887018638768,3473.1572867116,6004.989295704423,-7.47787379370272,-0.5248340789073669,-0.9244980414889867,7092.879674719342,0.03057387122544318,59.96688198250854,359.9261509963128,22.35792751749904,77.46821049868913
01 Jan 2026 00:29:07.566,1747.565677645616,-2452.634608310968,3325.915550764295,5747.236884880646,-7.123659955221251,-1.185367295041445,-2.069280448918849,7094.26740272356,0.03085586626096548,59.96987785520181,359.9132588294882,22.6305838844613,87.68509597895667
