TargetSat.UTCGregorian,TargetSat.ElapsedSecs,TargetSat.Earth.Latitude,TargetSat.Earth.Longitude,TargetSat.Earth.Altitude
01 Jan 2026 00:00:00.000,0,11.34356163411772,-12.31052856878539,300.8208836637286
01 Jan 2026 00:01:00.000,59.99999988125637,12.68861320696343,-8.732738908314307,301.0237995783082
01 Jan 2026 00:02:25.299,145.2986263087951,14.50363547608417,-3.578024542703753,301.3310871209624
01 Jan 2026 00:03:54.024,234.0241034282371,16.25251370254946,1.875732948435708,301.6625131703959
01 Jan 2026 00:05:23.143,323.1431888532825,17.846009986114,7.452714050898614,301.9936576665323
01 Jan 2026 00:06:52.307,412.3067020322196,19.2567083063185,13.13246975607748,302.3091923442462
01 Jan 2026 00:08:21.475,501.4745864784345,20.46507769531134,18.90865235685911,302.5955911898882
01 Jan 2026 00:09:50.644,590.6437036930583,21.45411800177434,24.77239287919175,302.840707238568
01 Jan 2026 00:11:19.813,679.8126697191037,22.20927840351576,30.71019987924442,303.0341543576105
01 Jan 2026 00:12:48.982,768.9815848250873,22.71902615909566,36.70439762468688,303.1677420536362
01 Jan 2026 00:14:18.150,858.1503437133506,22.97534675921615,42.73386448903018,303.2358152758434
01 Jan 2026 00:15:47.319,947.3191044875421,22.97413849777726,48.77527211130138,303.2354929869862
01 Jan 2026 00:17:16.489,1036.488569027279,22.715417784031,54.80456222513052,303.1667880222676
01 Jan 2026 00:18:45.658,1125.657592259813,22.20332761092392,60.79833244120312,303.0326090494782
01 Jan 2026 00:20:14.827,1214.826749393251,21.44591588973724,66.73553408964673,302.8386357397158
01 Jan 2026 00:21:43.996,1303.995882952586,20.45474863425689,72.59851111166482,302.5930815445872
01 Jan 2026 00:23:13.165,1393.1652368512,19.24437940347217,78.37391996924129,302.3063459281493
01 Jan 2026 00:24:42.335,1482.334948761854,17.83176330598492,84.0531388858125,301.9905768884591
01 Jan 2026 00:26:11.504,1571.504026686307,16.23568309137319,89.63227102634508,301.6591621562593
01 Jan 2026 00:27:40.673,1660.672596981749,14.47616418323461,95.11204681641875,301.3261546498761
01 Jan 2026 00:29:09.842,1749.841636244673,12.57400207876269,100.4973457033828,301.0056776197243
01 Jan 2026 00:30:39.010,1839.01022382779,10.55045240834785,105.796451552992,300.7113353705035
01 Jan 2026 00:32:08.179,1928.178979887161,8.426892926092904,111.020637558805,300.4556226849372
01 Jan 2026 00:33:37.348,2017.348162166309,6.224692467001344,116.1834370138388,300.249400046695
01 Jan 2026 00:35:06.517,2106.516877992544,3.965145156632728,121.3000286287393,300.101430914372
01 Jan 2026 00:36:35.685,2195.685385738034,1.669390159737064,126.386852416935,300.0180021613196
01 Jan 2026 00:38:04.854,2284.854103764519,-0.6415404670581814,131.4610851286562,300.0026592531185
