TargetSat.UTCGregorian,TargetSat.ElapsedSecs,TargetSat.EarthMJ2000Eq.X,TargetSat.EarthMJ2000Eq.Y,TargetSat.EarthMJ2000Eq.Z,TargetSat.EarthMJ2000Eq.VX,TargetSat.EarthMJ2000Eq.VY,TargetSat.EarthMJ2000Eq.VZ,TargetSat.Earth.SMA,TargetSat.Earth.ECC,TargetSat.EarthMJ2000Eq.INC,TargetSat.EarthMJ2000Eq.RAAN,TargetSat.EarthMJ2000Eq.AOP,TargetSat.Earth.TA
01 Jan 2026 00:00:00.000,0,229.877533692947,6545.416444041731,1304.677866352092,-7.265140278727683,-0.2659392861543323,2.614266704359063,6678.136300000002,2.387398042575407e-16,23.00000000000001,59.99999999999999,0,30.00000000000002
01 Jan 2026 00:01:00.000,59.99999988125637,-206.2344891408102,6513.711041227605,1458.266178808281,-7.2660899450038,-0.7904831087949079,2.503287986000948,6678.136300000006,9.533715542808117e-16,22.99999999999999,59.99999999999999,0,33.97703902384424
01 Jan 2026 00:02:25.299,145.2986263087951,-824.0132780203024,6414.704767708103,1664.352517397375,-7.20723563364801,-1.529036526341785,2.324904126457674,6678.136300000117,1.638517004600896e-14,22.99999999999999,59.99999999999999,0,39.63097179061225
01 Jan 2026 00:03:54.024,234.0241034282371,-1458.019386052363,6245.515918955222,1861.508747588997,-7.071625019665355,-2.281374706029041,2.115378549330596,6678.136300000278,3.864361989693472e-14,22.99999999999999,59.99999999999997,0,45.51204987204969
01 Jan 2026 00:05:23.143,323.1431888532825,-2079.378093213288,6009.397883453293,2039.810840541318,-6.860479699730298,-3.012863805219629,1.882510917849189,6678.136300000448,6.214897723092148e-14,22.99999999999999,59.99999999999997,0,51.41921787337968
01 Jan 2026 00:06:52.307,412.3067020322196,-2678.945770699901,5709.294494899474,2196.522335315075,-6.576316109076582,-3.712695468477095,1.629520225982532,6678.136300000615,8.515674357003742e-14,22.99999999999999,59.99999999999997,0,57.32933073743911
01 Jan 2026 00:08:21.475,501.4745864784345,-3250.06162226029,5348.478291057761,2329.88923834873,-6.222222773186964,-4.373089931459059,1.359192991168951,6678.136300000785,1.082127441258349e-13,23.00000000000001,59.99999999999999,0,63.23973333091086
01 Jan 2026 00:09:50.644,590.6437036930583,-3786.630867555006,4930.792391012963,2438.486725612245,-5.801970230795432,-4.986999043492083,1.074411167203516,6678.136300000951,1.306230989850338e-13,22.99999999999999,59.99999999999999,0,69.150217648075
01 Jan 2026 00:11:19.813,679.8126697191037,-4282.93977993616,4460.683055314609,2521.15805987025,-5.32003190193138,-5.547885387994076,0.778206694364792,6678.136300001118,1.528642948211108e-13,22.99999999999999,59.99999999999999,0,75.06069194182656
01 Jan 2026 00:12:48.982,768.9815848250873,-4733.712309458285,3943.148124643424,2577.024462395316,-4.781531410986186,-6.04978644521152,0.4737285173263774,6678.13630000129,1.751470464182039e-13,22.99999999999999,59.99999999999999,0,80.97116286225766
