TargetSat.UTCGregorian,TargetSat.ElapsedSecs,TargetSat.EarthFixed.X,TargetSat.EarthFixed.Y,TargetSat.EarthFixed.Z,TargetSat.EarthFixed.VX,TargetSat.EarthFixed.VY,TargetSat.EarthFixed.VZ,TargetSat.Earth.SMA,TargetSat.Earth.ECC,TargetSat.EarthMJ2000Eq.INC,TargetSat.EarthMJ2000Eq.RAAN,TargetSat.EarthMJ2000Eq.AOP,TargetSat.Earth.TA
01 Jan 2026 00:00:00.000,0,6398.70452516874,-1396.37496877876,1305.458458753443,0.9401687972345611,6.735016751121878,2.595828649745662,6678.136300000002,2.387398042575407e-16,23.00000000000001,59.99999999999999,0,30.00000000000002
01 Jan 2026 00:01:00.000,59.99999988125637,6441.497953181144,-989.4548965420676,1457.939494029074,0.48583841562897,6.824223505251179,2.484831652722364,6678.136300000006,9.533715542808117e-16,22.99999999999999,59.99999999999999,0,33.97703902384424
01 Jan 2026 00:02:25.299,145.2986263087951,6455.293538492606,-403.6470150030784,1662.455671755652,-0.1624740954026329,6.901476315565459,2.306574760016227,6678.136300000117,1.638517004600896e-14,22.99999999999999,59.99999999999999,0,39.63097179061225
01 Jan 2026 00:03:54.024,234.0241034282371,6411.026757298072,209.9573854108481,1857.998453954567,-0.8344514666376729,6.919402260317281,2.097370460564324,6678.136300000278,3.864361989693472e-14,22.99999999999999,59.99999999999997,0,45.51204987204969
01 Jan 2026 00:05:23.143,323.1431888532825,6306.882663927082,825.0221711164204,2034.717160197094,-1.500775993263558,6.87307261246595,1.865016366700703,6678.136300000448,6.214897723092148e-14,22.99999999999999,59.99999999999997,0,51.41921787337968
01 Jan 2026 00:06:52.307,412.3067020322196,6143.877039551177,1433.395765012436,2189.89861525564,-2.15256423061147,6.762532047910149,1.612725415585297,6678.136300000615,8.515674357003742e-14,22.99999999999999,59.99999999999997,0,57.32933073743911
01 Jan 2026 00:08:21.475,501.4745864784345,5923.632800901376,2029.112269590397,2321.805822815842,-2.783438904114043,6.588715141781673,1.343276524695632,6678.136300000785,1.082127441258349e-13,23.00000000000001,59.99999999999999,0,63.23973333091086
01 Jan 2026 00:09:50.644,590.6437036930583,5648.283382913089,2606.571459572193,2429.029537455317,-3.387507919811554,6.353152184105319,1.059542295334741,6678.136300000951,1.306230989850338e-13,22.99999999999999,59.99999999999999,0,69.150217648075
01 Jan 2026 00:11:19.813,679.8126697191037,5320.475220129853,3160.34822085705,2510.427652072266,-3.959153643124574,6.057955113790793,0.7645435164991139,6678.136300001118,1.528642948211108e-13,22.99999999999999,59.99999999999999,0,75.06069194182656
01 Jan 2026 00:12:48.982,768.9815848250873,4943.337782662965,3685.240674316087,2565.134924373925,-4.493081316033019,5.705793836938193,0.461416314491652,6678.13630000129,1.751470464182039e-13,22.99999999999999,59.99999999999999,0,80.97116286225766
01 Jan 2026 00:14:18.150,858.1503437133506,4520.457776301001,4176.307948377343,2592.56973954036,-4.98435616210208,5.299875721390015,0.1533839055948673,6678.136300001459,1.966063328757234e-13,22.99999999999998,59.99999999999999,0,86.88162341333498
01 Jan 2026 00:15:47.319,947.3191044875421,4055.842824206336,4628.919475377148,2592.440533009233,-5.428451572189502,4.843914691927369,-0.1562792641718692,6678.136300001626,2.176476769457167e-13,22.99999999999998,59.99999999999997,0,92.79208411126334
01 Jan 2026 00:17:16.489,1036.488569027279,3553.881124016436,5038.799389598305,2564.748352007549,-5.821291066198268,4.342095117551245,-0.4642832850992033,6678.136300001799,2.384218591547853e-13,22.99999999999999,59.99999999999997,0,98.70259145128536
01 Jan 2026 00:18:45.658,1125.657592259813,3019.313663188651,5402.056494529877,2509.787854495474,-6.159275498786638,3.799047484085245,-0.7673495041205404,6678.136300001964,2.57731455744169e-13,22.99999999999999,59.99999999999997,0,104.6130695378109
01 Jan 2026 00:20:14.827,1214.826749393251,2457.169458882319,5715.237828550633,2428.143170166085,-6.439331652746887,3.219786013982296,-1.062257689699113,6678.136300002131,2.765341993477266e-13,22.99999999999999,59.99999999999996,0,110.523556497883
01 Jan 2026 00:21:43.996,1303.995882952586,1872.731846387608,5975.350439483987,2320.682442358281,-6.658929203595519,2.609676216527052,-1.345871838346077,6678.136300002301,2.950211741162167e-13,22.99999999999999,59.99999999999996,0,116.4340418999761
01 Jan 2026 00:23:13.165,1393.1652368512,1271.481948536896,6179.894539680091,2188.547823184254,-6.816107373582224,1.974378386792074,-1.615177283102531,6678.136300002468,3.125307900413826e-13,22.99999999999999,59.99999999999996,0,122.3445418949668
